ID1	ID2	ID3	RECORD #	RECORD ID
15HIS	00000	00V44	AEG-005012	15HIS-00000-00V44
17HIS	00000	00V45	AEG-005013	17HIS-00000-00V45
16HIS	00000	00V46	AEG-005014	16HIS-00000-00V46
16HIS	00000	00V47	AEG-005015	16HIS-00000-00V47
17HIS	00000	00V48	AEG-005016	17HIS-00000-00V48
17HIS	00000	00V49	AEG-005017	17HIS-00000-00V49
20HIS	00000	00V4A	AEG-005018	20HIS-00000-00V4A
15HIS	00000	00V4B	AEG-005019	15HIS-00000-00V4B
16HIS	00000	00V4C	AEG-005020	16HIS-00000-00V4C
16HIS	00000	00V4D	AEG-005021	16HIS-00000-00V4D
16HIS	00000	00V4E	AEG-005022	16HIS-00000-00V4E
16HIS	00000	00V4F	AEG-005023	16HIS-00000-00V4F
12HIS	00000	00V4G	AEG-005024	12HIS-00000-00V4G
12HIS	00000	00V4H	AEG-005025	12HIS-00000-00V4H
19HIS	00000	00V4I	AEG-005026	19HIS-00000-00V4I
15HIS	00000	00V4J	AEG-005027	15HIS-00000-00V4J
20HIS	00000	00V4K	AEG-005028	20HIS-00000-00V4K
20HIS	00000	00V4L	AEG-005029	20HIS-00000-00V4L
16HIS	00000	00V4M	AEG-005030	16HIS-00000-00V4M
16HIS	00000	00V4N	AEG-005031	16HIS-00000-00V4N
16HIS	00000	00V4O	AEG-005032	16HIS-00000-00V4O
19HIS	00000	00V4P	AEG-005033	19HIS-00000-00V4P
21HIS	00000	00V4Q	AEG-005034	21HIS-00000-00V4Q
15HIS	00000	00V4R	AEG-005035	15HIS-00000-00V4R
15HIS	00000	00V4S	AEG-005036	15HIS-00000-00V4S
15HIS	00000	00V4T	AEG-005037	15HIS-00000-00V4T
18HIS	00000	00V4U	AEG-005038	18HIS-00000-00V4U
16HIS	00000	00V4V	AEG-005039	16HIS-00000-00V4V
16HIS	00000	00V4W	AEG-005040	16HIS-00000-00V4W
16HIS	00000	00V4X	AEG-005041	16HIS-00000-00V4X
19HIS	00000	00V4Y	AEG-005042	19HIS-00000-00V4Y
16HIS	00000	00V4Z	AEG-005043	16HIS-00000-00V4Z
19HIS	00000	00V50	AEG-005044	19HIS-00000-00V50
15HIS	00000	00V51	AEG-005045	15HIS-00000-00V51
21HIS	00000	00V52	AEG-005046	21HIS-00000-00V52
21HIS	00000	00V53	AEG-005047	21HIS-00000-00V53
21HIS	00000	00V54	AEG-005048	21HIS-00000-00V54
15HIS	00000	00V55	AEG-005049	15HIS-00000-00V55
15HIS	00000	00V56	AEG-005050	15HIS-00000-00V56
17HIS	00000	00V57	AEG-005051	17HIS-00000-00V57
17HIS	00000	00V58	AEG-005052	17HIS-00000-00V58
17HIS	00000	00V59	AEG-005053	17HIS-00000-00V59
21HIS	00000	00V5A	AEG-005054	21HIS-00000-00V5A
17HIS	00000	00V5B	AEG-005055	17HIS-00000-00V5B
16HIS	00000	00V5C	AEG-005056	16HIS-00000-00V5C
16HIS	00000	00V5D	AEG-005057	16HIS-00000-00V5D
18HIS	00000	00V5E	AEG-005058	18HIS-00000-00V5E
15HIS	00000	00V5F	AEG-005059	15HIS-00000-00V5F
18HIS	00000	00V5G	AEG-005060	18HIS-00000-00V5G
19HIS	00000	00V5H	AEG-005061	19HIS-00000-00V5H
19HIS	00000	00V5I	AEG-005062	19HIS-00000-00V5I
15HIS	00000	00V5J	AEG-005063	15HIS-00000-00V5J
15HIS	00000	00V5K	AEG-005064	15HIS-00000-00V5K
17HIS	00000	00V5L	AEG-005065	17HIS-00000-00V5L
20HIS	00000	00V5M	AEG-005066	20HIS-00000-00V5M
16HIS	00000	00V5N	AEG-005067	16HIS-00000-00V5N
16HIS	00000	00V5O	AEG-005068	16HIS-00000-00V5O
16HIS	00000	00V5P	AEG-005069	16HIS-00000-00V5P
16HIS	00000	00V5Q	AEG-005070	16HIS-00000-00V5Q
16HIS	00000	00V5R	AEG-005071	16HIS-00000-00V5R
16HIS	00000	00V5S	AEG-005072	16HIS-00000-00V5S
17HIS	00000	00V5T	AEG-005073	17HIS-00000-00V5T
19HIS	00000	00V5U	AEG-005074	19HIS-00000-00V5U
16HIS	00000	00V5V	AEG-005075	16HIS-00000-00V5V
16HIS	00000	00V5W	AEG-005076	16HIS-00000-00V5W
21HIS	00000	00V5X	AEG-005077	21HIS-00000-00V5X
17HIS	00000	00V5Y	AEG-005078	17HIS-00000-00V5Y
19HIS	00000	00V5Z	AEG-005079	19HIS-00000-00V5Z
19HIS	00000	00V60	AEG-005080	19HIS-00000-00V60
21HIS	00000	00V61	AEG-005081	21HIS-00000-00V61
21HIS	00000	00V62	AEG-005082	21HIS-00000-00V62
21HIS	00000	00V63	AEG-005083	21HIS-00000-00V63
16HIS	00000	00V64	AEG-005084	16HIS-00000-00V64
20HIS	00000	00V65	AEG-005085	20HIS-00000-00V65
20HIS	00000	00V66	AEG-005086	20HIS-00000-00V66
16HIS	00000	00V67	AEG-005087	16HIS-00000-00V67
16HIS	00000	00V68	AEG-005088	16HIS-00000-00V68
